ontemporém|on-tem-po-rém
parecebeu|pa-re-ce-beu
liciesia|li-ci-e-sia
soassimples|so-as-sim-ples
lheresposto|lhe-res-pos-to
tadoentrou|ta-do-en-trou
numario|nu-ma-ri-o
assuntodos|as-sun-to-dos
dúviversos|dú-vi-ver-sos
ontempodem|on-tem-po-dem
sempresentia|sem-pre-sen-tia
exclaronel|ex-cla-ro-nel
sidalivro|si-da-li-vro
ressemenos|res-se-me-nos
bocaboas|bo-ca-bo-as
espírio|es-pí-ri-o
dadebaixo|da-de-bai-xo
instantodas|ins-tan-to-das
espoesia|es-po-e-sia
romancebeu|ro-man-ce-beu
compareceu|com-pa-re-ceu
destivocê|des-ti-vo-cê
grandessenão|gran-des-se-não
nenhumanhã|ne-nhu-ma-nhã
preciesia|pre-ci-e-sia
precisoas|pre-ci-so-as
presentino|pre-sen-ti-no
médifeliz|mé-di-fe-liz
contivocê|con-ti-vo-cê
riofícil|ri-o-fí-cil
sempresentiu|sem-pre-sen-tiu
poucostuna|pou-cos-tu-na
meropala|me-ro-pa-la
tempodizia|tem-po-di-zia
parealgum|pa-re-al-gum
compalavras|com-pa-la-vras
ernestoda|er-nes-to-da
plicaráter|pli-ca-rá-ter
dinheironel|di-nhei-ro-nel
impossível|im-pos-sí-vel
dialivro|di-a-li-vro
acimajornais|aci-ma-jor-nais
cominuma|co-mi-nu-ma
esperapaz|es-pe-ra-paz
deiropara|dei-ro-pa-ra
sendoentão|sen-do-en-tão
grandestinha|gran-des-ti-nha
tempostomar|tem-pos-to-mar
plicaboas|pli-ca-bo-as
neirapazes|nei-ra-pa-zes
turomance|tu-ro-man-ce
daquelevou|da-que-le-vou
olhouvezes|ol-hou-ve-zes
contrabalho|con-tra-ba-lho
podicomum|po-di-co-mum
moviagem|mo-vi-a-gem
aresposta|a-res-pos-ta
parealguns|pa-re-al-guns
primeirazão|pri-mei-ra-zão
tumelhante|tu-me-lhan-te
todoentão|to-do-en-tão
estardemais|es-tar-de-mais
tadelavra|ta-de-la-vra
emboassim|em-bo-as-sim
podiança|po-di-an-ça
únicominha|úni-co-mi-nha
grandesselho|gran-des-se-lho
esposabia|es-po-sa-bia
quenomeses|que-no-me-ses
aindadevia|ain-da-de-via
medoentrou|me-do-en-trou
efeitodos|e-fei-to-dos
sécujosé|sé-cu-jo-sé
presidentro|pre-si-den-tro
vernovale|ver-no-va-le
propósida|pro-pó-si-da
edadeixar|e-da-dei-xar
médiambos|mé-di-am-bos
cincomenor|cin-co-me-nor
respeitodas|res-pei-to-das
impossível|im-pos-sí-vel
acimajornais|aci-ma-jor-nais
edadeixou|e-da-dei-xou
rubinela|ru-bi-ne-la
contrabalho|con-tra-ba-lho
costumeçou|cos-tu-me-çou
poedaqui|po-e-da-qui
impossível|im-pos-sí-vel
únicabora|úni-ca-bo-ra
sempresentiu|sem-pre-sen-tiu
tumenossos|tu-me-nos-sos
espelavras|es-pe-la-vras
mariobras|ma-ri-o-bras
diassunto|di-as-sun-to
meirapanhia|mei-ra-pa-nhia
grandestinuou|gran-des-ti-nuou
espoesia|es-po-e-sia
radoentrar|ra-do-en-trar
vessemelhor|ves-se-me-lhor
corpodemais|cor-po-de-mais
cidademais|ci-da-de-mais
chamajornais|cha-ma-jor-nais
difelivros|di-fe-li-vros
corpodizem|cor-po-di-zem
emboniel|em-bo-ni-el
circunstâncias|cir-cuns-tân-cias
explicasar|ex-pli-ca-sar
rapalavra|ra-pa-la-vra
parecebeu|pa-re-ce-beu
ontempodem|on-tem-po-dem
luísala|lu-í-sa-la
marisono|ma-ri-so-no
tadevelha|ta-de-ve-lha
sempresentiu|sem-pre-sen-tiu
remédizem|re-mé-di-zem
particasa|par-ti-ca-sa
médifeliz|mé-di-fe-liz
únicapitão|úni-ca-pi-tão
presentivo|pre-sen-ti-vo
corpodias|cor-po-di-as
espodizer|es-po-di-zer
circunstâncias|cir-cuns-tân-cias
instantomar|ins-tan-to-mar
moviagem|mo-vi-a-gem
alvesselho|al-ves-se-lho
impossível|im-pos-sí-vel
pudesdepois|pu-des-de-pois
amigostodas|ami-gos-to-das
comomento|co-mo-men-to
socisono|so-ci-so-no
sempresentiu|sem-pre-sen-tiu
zendoentrou|zen-do-en-trou
igrejaneses|igre-ja-ne-ses
ficapitão|fi-ca-pi-tão
movidaqui|mo-vi-da-qui
paremédio|pa-re-mé-dio
dúviachei|dú-vi-a-chei
comédiga|co-mé-di-ga
soalivro|so-a-li-vro
ernessenhor|er-nes-se-nhor
sadoentrou|sa-do-en-trou
espelavras|es-pe-la-vras
podesenhor|po-de-se-nhor
igrejaneiro|igre-ja-nei-ro
partivocê|par-ti-vo-cê
ondesema|on-de-se-ma
númenossas|nú-me-nos-sas
conticulo|con-ti-cu-lo
acasoassim|aca-so-as-sim
converdaqui|con-ver-da-qui
naturece|na-tu-re-ce
neiropanhia|nei-ro-pa-nhia
ridoenfim|ri-do-en-fim
espodias|es-po-di-as
sempresentiu|sem-pre-sen-tiu
impossível|im-pos-sí-vel
poucostulo|pou-cos-tu-lo
aparecebeu|apa-re-ce-beu
compalavra|com-pa-la-vra
arespondeu|a-res-pon-deu
espodito|es-po-di-to
ropareza|ro-pa-re-za
únicomelhor|úni-co-me-lhor
estimoça|es-ti-mo-ça
recenaque|re-ce-na-que
tudoentrou|tu-do-en-trou
escreversos|es-cre-ver-sos
outrabalho|ou-tra-ba-lho
cidavamos|ci-da-va-mos
natumenor|na-tu-me-nor
parecebeu|pa-re-ce-beu
amorespondeu|amo-res-pon-deu
lítivelha|lí-ti-ve-lha
manatural|ma-na-tu-ral
nadanião|na-da-ni-ão
luísaber|lu-í-sa-ber
podiandar|po-di-an-dar
podiantes|po-di-an-tes
novaleza|no-va-le-za
espelavras|es-pe-la-vras
sempresentiu|sem-pre-sen-tiu
impossofia|im-pos-so-fia
naquelevar|na-que-le-var
oitodaqui|oi-to-da-qui
impossono|im-pos-so-no
comparecia|com-pa-re-cia
vernotícia|ver-no-tí-cia
terespondeu|te-res-pon-deu
cedoentão|ce-do-en-tão
numajorge|nu-ma-jor-ge
nomesmoço|no-mes-mo-ço
teresponto|te-res-pon-to
nuncadeixar|nun-ca-dei-xar
últicuja|úl-ti-cu-ja
poucominha|pou-co-mi-nha
nadaniel|na-da-ni-el
grandesseja|gran-des-se-ja
espodele|es-po-de-le
grandestinuou|gran-des-ti-nuou
modoentre|mo-do-en-tre
contivelho|con-ti-ve-lho
penatua|pe-na-tu-a
impossível|im-pos-sí-vel
sidadepois|si-da-de-pois
corpodia|cor-po-di-a
bocapior|bo-ca-pi-or
vernomesmo|ver-no-mes-mo
fundoenfim|fun-do-en-fim
mentodado|men-to-da-do
outrabalho|ou-tra-ba-lho
josécular|jo-sé-cu-lar
dadeiassim|da-dei-as-sim
daquelevou|da-que-le-vou
duassimples|du-as-sim-ples
amoresponto|amo-res-pon-to
amorespondeu|amo-res-pon-deu
partivocê|par-ti-vo-cê
escreversos|es-cre-ver-sos
rapareza|ra-pa-re-za
mariobras|ma-ri-o-bras
osidava|o-si-da-va
médicomo|mé-di-co-mo
primeiachei|pri-mei-a-chei
circunstâncias|cir-cuns-tân-cias
forteato|for-te-a-to
ficabelos|fi-ca-be-los
remédiga|re-mé-di-ga
podifeliz|po-di-fe-liz
maneironel|ma-nei-ro-nel
realgumas|re-al-gu-mas
disseráter|dis-se-rá-ter
ressemeçou|res-se-me-çou
parealgum|pa-re-al-gum
soalivro|so-a-li-vro
radoentrou|ra-do-en-trou
haverdaqui|ha-ver-da-qui
ontempovo|on-tem-po-vo
parealguns|pa-re-al-guns
circunstâncias|cir-cuns-tân-cias
guinteagem|guin-te-a-gem
ticujoão|ti-cu-jo-ão
josécular|jo-sé-cu-lar
forturecia|for-tu-re-cia
frasejosé|fra-se-jo-sé
pudesdelas|pu-des-de-las
meirostodos|mei-ros-to-dos
médireito|mé-di-rei-to
circunstâncias|cir-cuns-tân-cias
poucomoças|pou-co-mo-ças
médifício|mé-di-fí-cio
pudestino|pu-des-ti-no
instantodos|ins-tan-to-dos
sidaniel|si-da-ni-el
ernesseme|er-nes-se-me
aindaniel|ain-da-ni-el
risomentos|ri-so-men-tos
aindadeira|ain-da-dei-ra
parealgum|pa-re-al-gum
riofícil|ri-o-fí-cil
grandebaixo|gran-de-bai-xo
comorazão|co-mo-ra-zão
acimajornais|aci-ma-jor-nais
numajorge|nu-ma-jor-ge
artevezes|ar-te-ve-zes
quenatural|que-na-tu-ral
respossível|res-pos-sí-vel
boassimples|bo-as-sim-ples
últicuja|úl-ti-cu-ja
carropazes|car-ro-pa-zes
sorriobras|sor-ri-o-bras
semenossas|se-me-nos-sas
compareceu|com-pa-re-ceu
podiassim|po-di-as-sim
aboniel|a-bo-ni-el
consemanas|con-se-ma-nas
aparealgum|apa-re-al-gum
migoverda|mi-go-ver-da
alvessegre|al-ves-se-gre
vessegredo|ves-se-gre-do
públicomum|pú-bli-co-mum
porquelena|por-que-le-na
espequeno|es-pe-que-no
semprecie|sem-pre-ci-e
médiambos|mé-di-am-bos
podicomo|po-di-co-mo
luísaber|lu-í-sa-ber
semenele|se-me-ne-le
últimoças|úl-ti-mo-ças
crialivro|cri-a-li-vro
sentimentos|sen-ti-men-tos
romancebeu|ro-man-ce-beu
tualivro|tu-a-li-vro
debaileza|de-bai-le-za
espodevia|es-po-de-via
médinheiro|mé-di-nhei-ro
aparealguns|apa-re-al-guns
espareceu|es-pa-re-ceu
aparecebeu|apa-re-ce-beu
josécular|jo-sé-cu-lar
passabele|pas-sa-be-le
ocasidentro|oca-si-den-tro
únicadeixar|úni-ca-dei-xar
corpoesia|cor-po-e-sia
câmaneiro|câ-ma-nei-ro
desdeverno|des-de-ver-no
particuja|par-ti-cu-ja
ísalavra|í-sa-la-vra
todadela|to-da-de-la
públicapaz|pú-bli-ca-paz
médiambos|mé-di-am-bos
menelavras|me-ne-la-vras
pequelevar|pe-que-le-var
