quantodoentre|quan-to-do-en-tre
blicomotinuou|bli-co-mo-ti-nuou
paraparecia|pa-ra-pa-re-cia
públicomoças|pú-bli-co-mo-ças
segundadeias|se-gun-da-dei-as
menterespondeu|men-te-res-pon-deu
embocabelos|em-bo-ca-be-los
viverdademais|vi-ver-da-de-mais
goverdavamos|go-ver-da-va-mos
médifelivro|mé-di-fe-li-vro
nomenelavra|no-me-ne-la-vra
cadeirapapel|ca-dei-ra-pa-pel
realvessenão|re-al-ves-se-não
grandessemenor|gran-des-se-me-nor
sempresentima|sem-pre-sen-ti-ma
forturealgum|for-tu-re-al-gum
raparealgum|ra-pa-re-al-gum
realvessenhor|re-al-ves-se-nhor
médialiber|mé-di-a-li-ber
pequelenaque|pe-que-le-na-que
